               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,             0.02797,            0.035782,           0.0029827,             0.83829,             0.83404,              0.8498,             0.61529,            0.025451,            0.024617,           0.0063794,            0.003268,            0.003268,            0.003268
                  70,            0.027855,            0.035654,           0.0028946,             0.85499,             0.83291,              0.8602,             0.62069,            0.025711,            0.024446,           0.0065078,            0.003169,            0.003169,            0.003169
                  71,            0.028063,            0.037174,           0.0025091,              0.8773,             0.84297,             0.86232,              0.6323,            0.025279,            0.024371,             0.00616,             0.00307,             0.00307,             0.00307
                  72,            0.027081,            0.034909,            0.002783,             0.84318,              0.8452,             0.85527,             0.62435,            0.025061,            0.024431,           0.0066612,            0.002971,            0.002971,            0.002971
                  73,            0.027917,            0.035368,           0.0023943,             0.84689,             0.85422,             0.85439,                0.62,            0.025157,            0.024788,            0.005172,            0.002872,            0.002872,            0.002872
                  74,            0.027913,            0.035295,           0.0027013,             0.86473,             0.81927,             0.86252,             0.62312,            0.025482,            0.024879,           0.0053023,            0.002773,            0.002773,            0.002773
                  75,            0.027596,            0.033296,           0.0027011,             0.85773,             0.82711,             0.85463,             0.61919,            0.025197,            0.025164,             0.00589,            0.002674,            0.002674,            0.002674
                  76,            0.027502,            0.037148,           0.0023455,             0.82525,             0.83326,             0.85493,             0.61356,            0.025309,            0.024766,            0.006519,            0.002575,            0.002575,            0.002575
                  77,            0.026816,            0.035286,           0.0022918,             0.86177,             0.80721,             0.85106,             0.62377,            0.026033,            0.024873,           0.0067388,            0.002476,            0.002476,            0.002476
                  78,            0.027011,            0.034906,           0.0023935,             0.85365,             0.84679,               0.859,             0.62338,            0.025084,            0.024771,            0.006608,            0.002377,            0.002377,            0.002377
                  79,            0.026473,            0.033494,           0.0024487,             0.86269,             0.85368,             0.86705,             0.63116,            0.024924,            0.024844,           0.0055643,            0.002278,            0.002278,            0.002278
                  80,            0.026247,            0.034303,            0.002108,             0.85756,             0.85839,             0.87337,             0.63584,             0.02545,            0.024785,           0.0054403,            0.002179,            0.002179,            0.002179
                  81,            0.026307,            0.033961,           0.0029392,             0.85673,              0.8516,             0.86545,             0.62494,            0.025246,            0.025266,           0.0058261,             0.00208,             0.00208,             0.00208
                  82,            0.026234,            0.032917,           0.0020894,             0.85546,             0.84524,             0.86121,              0.6277,            0.025607,            0.024669,           0.0066742,            0.001981,            0.001981,            0.001981
                  83,             0.02601,            0.034031,           0.0022583,             0.85293,             0.85354,             0.86126,             0.62588,            0.025237,            0.024765,           0.0060744,            0.001882,            0.001882,            0.001882
                  84,            0.025785,            0.033333,           0.0022103,             0.86523,             0.83554,             0.85901,             0.62729,            0.025399,            0.024956,           0.0061781,            0.001783,            0.001783,            0.001783
                  85,            0.025975,            0.033727,           0.0022637,             0.86033,             0.85095,             0.85997,             0.62654,            0.025491,            0.025163,           0.0065955,            0.001684,            0.001684,            0.001684
                  86,            0.025234,            0.034097,           0.0022772,             0.86727,             0.82886,             0.86023,             0.62266,            0.025046,            0.024894,           0.0065787,            0.001585,            0.001585,            0.001585
                  87,            0.025305,            0.034312,           0.0018643,              0.8602,             0.83879,             0.86553,             0.63391,            0.024976,            0.024846,           0.0062471,            0.001486,            0.001486,            0.001486
                  88,            0.025618,            0.034739,           0.0018477,             0.87067,             0.84546,             0.86931,             0.63867,            0.025662,            0.025085,           0.0063496,            0.001387,            0.001387,            0.001387
                  89,            0.025124,            0.033517,           0.0017534,             0.85887,             0.85332,             0.86668,             0.63308,            0.024931,            0.025136,           0.0063455,            0.001288,            0.001288,            0.001288
                  90,             0.02531,             0.03246,           0.0019615,             0.86393,              0.8523,             0.86649,             0.62928,            0.025281,            0.024952,           0.0064765,            0.001189,            0.001189,            0.001189
                  91,            0.025488,            0.035296,           0.0020619,             0.87103,             0.83827,              0.8595,             0.63424,             0.02497,             0.02506,           0.0065385,             0.00109,             0.00109,             0.00109
                  92,            0.024449,            0.031321,           0.0018875,             0.84601,             0.84318,             0.86224,             0.63495,            0.025296,            0.025477,           0.0069459,            0.000991,            0.000991,            0.000991
                  93,            0.024311,            0.032622,           0.0019638,             0.87024,             0.84056,              0.8663,             0.63884,            0.025136,            0.025255,           0.0069068,            0.000892,            0.000892,            0.000892
                  94,            0.024223,            0.032973,           0.0019243,             0.85703,             0.86237,             0.87025,             0.64271,             0.02524,            0.025376,           0.0067285,            0.000793,            0.000793,            0.000793
                  95,            0.023841,             0.03194,           0.0016988,             0.85286,             0.85995,             0.86912,             0.64561,            0.025529,            0.025436,           0.0066175,            0.000694,            0.000694,            0.000694
                  96,            0.024594,            0.033393,           0.0017857,             0.85718,             0.84986,             0.86568,             0.64355,            0.025752,            0.025402,           0.0070735,            0.000595,            0.000595,            0.000595
                  97,            0.023996,            0.032176,           0.0017648,              0.8561,             0.84869,             0.86693,             0.63941,            0.025606,            0.025211,           0.0069098,            0.000496,            0.000496,            0.000496
                  98,            0.024146,            0.032909,           0.0015207,             0.86248,             0.84963,              0.8676,              0.6381,            0.025219,            0.025466,           0.0068543,            0.000397,            0.000397,            0.000397
                  99,            0.023868,            0.031952,           0.0017659,             0.86469,             0.84636,              0.8641,             0.63698,            0.025149,            0.025395,           0.0066864,            0.000298,            0.000298,            0.000298
